Month,Country (Visitors),City (Visitors),Beach (Visitors),Mountain (Visitors),Hotel (Visitors)
January,10000,8000,12000,5000,15000
February,11000,8500,13000,5500,16000
March,12000,9000,14000,6000,17000
April,13000,9500,15000,6500,18000
May,14000,10000,16000,7000,19000
June,15000,10500,17000,7500,20000
July,16000,11000,18000,8000,21000
August,17000,11500,19000,8500,22000
September,18000,12000,20000,9000,23000
October,19000,12500,21000,9500,24000
November,20000,13000,22000,10000,25000
December,21000,13500,23000,10500,26000
