2018,1 Bedroom Apartments (Listings),2 Bedroom Apartments (Listings),3 Bedroom Apartments (Listings),4 Bedroom Apartments (Listings),5+ Bedroom Apartments (Listings)
January,500,600,700,800,900
February,550,650,750,850,950
March,600,700,800,900,1000
April,650,750,850,950,1050
May,700,800,900,1000,1100
June,750,850,950,1050,1150
July,800,900,1000,1100,1200
August,850,950,1050,1150,1250
September,900,1000,1100,1200,1300
October,950,1050,1150,1250,1350
November,1000,1100,1200,1300,1400
December,1050,1150,1250,1350,1450
