Category,Physics (Projects),Chemistry (Projects),Biology (Projects),Environmental Science (Projects),Engineering (Projects)
Aerospace,20,15,10,5,20
Energy,15,20,10,10,25
Nanotechnology,10,10,5,15,30
Robotics,25,15,20,10,25
Materials Science,15,20,25,5,15
Transportation,10,15,20,10,20
Agriculture,20,10,10,15,25
Medicine,20,25,15,5,20
Artificial Intelligence,25,10,20,10,25
Space Exploration,10,20,10,15,25
Oceanography,10,10,25,10,20
Climate Change,20,5,15,20,25
Biotechnology,10,10,20,15,25
Sustainable Energy,15,10,20,15,20
