Category,Facebook (Users),Twitter (Users),Instagram (Users),LinkedIn (Users),YouTube (Users)
Technology,200,150,180,130,250
Entertainment,100,120,150,100,200
Fashion,150,180,200,150,250
Food,100,200,250,180,150
Travel,200,180,150,130,100
Beauty,150,200,100,250,120
Fitness,180,150,100,200,170
Lifestyle,130,100,150,180,200
Sports,250,130,100,200,150
News,120,100,200,180,150
Music,180,200,150,100,250
Art,150,180,130,200,100
Business,120,150,200,170,130
Health,100,200,250,150,180
Education,200,180,150,130,100
Politics,150,200,100,250,120
Marketing,180,150,100,200,170
