Category,Trucking (tons),Air Cargo (tons),Rail Cargo (tons),Maritime Cargo (tons),Warehouse Storage (sq. ft.)
North America,200000,150000,180000,130000,250000
Europe,100000,120000,150000,100000,200000
Asia,150000,180000,200000,150000,250000
South America,100000,200000,250000,180000,150000
Africa,200000,180000,150000,130000,100000
Oceania,150000,200000,100000,250000,120000
Antarctica,180000,150000,100000,200000,170000
Middle East,130000,100000,150000,180000,200000
Central America,250000,130000,100000,200000,150000
Caribbean,120000,100000,200000,180000,150000
