Category,Healthcare (%),Education (%),Infrastructure (%),Security (%),Environment (%)
Taxation,20,15,25,15,25
Social Welfare,30,25,20,15,10
Public Transportation,10,15,30,25,20
Law Enforcement,25,15,20,30,10
Environment Protection,10,20,15,25,30
Education,15,30,20,15,20
National Security,20,10,15,30,25
Foreign Policy,25,10,15,20,30
Emergency Services,15,20,25,20,20
Housing,20,15,20,25,20
Civil Rights,25,20,15,20,20
Healthcare,15,25,20,15,25
Social Services,20,15,25,20,20
Immigration,25,10,20,20,25
