Category,Revenue Generated ($),Online Sales ($),In-store Sales ($),Total Sales ($),Customer Retention (%)
Clothing,50000,30000,20000,50000,80
Electronics,80000,50000,30000,80000,75
Home Goods,60000,40000,20000,60000,70
Beauty,40000,25000,15000,40000,85
Sports,30000,20000,10000,30000,90
Food,70000,50000,20000,70000,85
Furniture,90000,60000,30000,90000,80
Toys,20000,10000,10000,20000,95
Health,10000,5000,5000,10000,95
Automotive,100000,70000,30000,100000,75
Music,5000,3000,2000,5000,90
Books,2000,1000,1000,2000,95
Office Supplies,4000,2000,2000,4000,80
Pet Supplies,3000,1000,2000,3000,85
