Category,Emissions (tonnes),Renewable Energy (MWh),Water Usage (gallons),Waste (tons),Sustainable Practices
Manufacturing,5000,2000,10000,500,75
Agriculture,2500,3000,5000,200,50
Transportation,4000,1000,8000,300,60
Construction,3000,1500,2000,400,70
Energy,6000,4000,15000,1000,80
Retail,3500,2500,6000,500,90
Hospitality,2000,1000,3000,150,40
Technology,4500,3500,10000,600,100
Healthcare,3000,500,2000,200,30
Education,2500,2000,5000,300,20
Government,4000,3000,8000,600,50
Finance,3500,2500,6000,500,70
Non-profit,2000,1000,3000,200,10
Real Estate,3000,500,2000,300,40
