Category,Facebook (Posts),Instagram (Posts),Twitter (Posts),LinkedIn (Posts),YouTube (Posts)
Advertising,100,150,120,200,250
Influencers,200,180,250,150,120
Branding,150,200,100,180,130
Customer Service,200,180,120,150,250
Analytics,130,100,150,200,180
Content Creation,180,120,200,150,130
E-commerce,150,180,130,200,100
Events,180,150,100,200,170
Public Relations,130,100,150,180,200
Recruitment,250,130,100,200,150
Sales,120,100,200,180,150
Social Listening,180,200,150,100,250
User Engagement,150,180,130,200,100
