Category,Retail Sales ($),E-commerce Sales ($),Retail Revenue ($),E-commerce Revenue ($)
Clothing,5000,3000,3500,2500
Electronics,6000,4000,4500,3500
Home Goods,4000,2000,3000,1500
Beauty & Health,3000,1500,2500,1000
Toys & Games,2500,1000,2000,500
Food & Beverage,7000,5000,6500,4500
Automotive,4000,3000,3500,2500
Sports & Outdoors,3000,2000,2500,1500
Pet Supplies,2000,1000,1500,500
Jewelry,1500,500,1000,250
Furniture,5000,4000,4500,3500
Office Supplies,2000,1000,1500,500
Beauty & Personal Care,3000,2000,2500,1500
