Category,Facebook (Users),Instagram (Users),Twitter (Users),LinkedIn (Users),YouTube (Users)
Advertising,200,180,150,130,100
Influencers,100,120,150,100,200
E-commerce,150,180,200,150,250
Brand Awareness,100,200,250,180,150
Customer Engagement,200,180,150,130,100
Content Creation,150,200,100,250,120
Analytics,180,150,100,200,170
Customer Service,130,100,150,180,200
News and Updates,250,130,100,200,150
Event Promotion,120,100,200,180,150
Social Listening,180,200,150,100,250
Community Management,150,180,130,200,100
Social Media Strategy,120,150,200,170,130
