Category,Web Development (Users),Data Science (Users),Cybersecurity (Users),Artificial Intelligence (Users),Social Media (Users)
Technology,250,180,200,150,300
Internet,200,150,180,130,250
Mobile,180,200,150,100,250
Cloud Computing,150,180,130,200,170
E-commerce,130,100,150,180,200
Artificial Intelligence,100,200,250,150,180
Internet of Things,200,180,150,130,100
Big Data,150,200,100,250,120
Social Networking,180,150,100,200,170
Cybersecurity,120,100,200,180,150
Digital Marketing,100,200,250,150,180
Virtual Reality,150,180,130,200,170
Augmented Reality,130,100,150,180,200
Blockchain,200,180,150,130,100
