Category,Number of Tickets Sold,Revenue,Attendance Rate,Number of Events
Soccer,5000,25000,80%,10
Basketball,4000,20000,90%,8
Baseball,3000,15000,70%,6
Football,6000,30000,85%,12
Hockey,2000,10000,75%,4
Tennis,1000,5000,95%,2
Golf,1500,7500,60%,3
Volleyball,2500,12500,80%,5
Rugby,800,4000,70%,1
Swimming,1200,6000,75%,2
Cycling,600,3000,65%,1
Running,1000,5000,85%,2
Ice Skating,500,2500,60%,1
Martial Arts,700,3500,80%,1
Gymnastics,900,4500,75%,2
Track and Field,400,2000,70%,1
Table Tennis,300,1500,90%,1
Badminton,600,3000,80%,1
