Category,Total Donations (Millions of Dollars),Number of Volunteers,Program Expenses (Millions of Dollars),Operational Expenses (Millions of Dollars)
Educational Organizations,500,10000,350,150
Health Organizations,750,15000,500,200
Environmental Organizations,250,5000,200,100
Animal Welfare Organizations,400,8000,300,100
Social Service Organizations,650,12000,400,300
Arts and Cultural Organizations,300,6000,250,100
International Aid Organizations,600,11000,450,250
Community Development Organizations,350,7000,300,150
Religious Organizations,700,14000,600,200
Youth and Sports Organizations,450,9000,350,150
Other Nonprofit Organizations,550,10000,400,200
