Category,Number of Donors,Total Donations (USD),Average Donation Amount (USD),Fundraising Expenses (USD),Program expenses (USD)
Education,400,25000,62.5,3000,18000
Healthcare,350,30000,85.71,4000,21000
Environmental Conservation,200,15000,75,2000,12000
Social Services,450,35000,77.78,5000,25000
Arts and Culture,250,20000,80,2500,15000
Animal Welfare,300,18000,60,2500,14000
International Aid,150,10000,66.67,1500,7500
Disaster Relief,100,8000,80,1000,6000
Community Development,350,28000,80,4000,20000
Youth Development,200,15000,75,2000,12000
