Category,Research Funding (Millions of Dollars),Number of Patents Filed,Number of Scientific Publications,Number of Engineering Graduates
Chemistry,50,100,500,2000
Physics,60,150,600,2500
Biology,70,200,700,3000
Computer Science,80,250,800,3500
Civil Engineering,90,300,900,4000
Mechanical Engineering,100,350,1000,4500
Electrical Engineering,110,400,1100,5000
Materials Science,120,450,1200,5500
Environmental Science,130,500,1300,6000
Chemical Engineering,140,550,1400,6500
Astronomy,150,600,1500,7000
