Country,GDP (in Billion USD),Population (in Million),Unemployment Rate (%),Transport Infrastructure Spending (in Billion USD)
USA,22702,333,3.5,65
China,16532,1426,3.6,584
Japan,4145,125,2.9,45
Germany,3891,83,3.6,79
India,3305,1393,5.4,179
UK,2911,66,3.9,62
France,2749,67,8.1,58
Italy,2084,60,9.7,48
Canada,1751,38,5.5,74
Australia,1470,25,5.2,35
Russia,1468,146,4.5,267
South Korea,1665,51,3.8,114
Spain,1408,46,14.1,42
Brazil,3229,211,11.9,84
Mexico,1276,130,3.4,89
Indonesia,1186,275,5.3,150
Netherlands,937,17,3.5,27
Switzerland,737,8,4.4,10
Turkey,940,84,13.7,63
Saudi Arabia,793,36,5.9,70
